BirthYear,animalGender,AnimalName,DogCount
1976,M,DICKENS,1
1976,M,DIZEL,1
1976,M,DORLY,1
1976,M,DUDEK,1
1976,M,DUKE,4
1976,M,DUKIE,1
1976,M,FETA,1
1976,M,FLUFFY,2
1976,M,FONZIE,2
1976,M,FRECKLE,1
1976,M,FRED,2
1976,M,FREDERICK,1
1976,M,FRISKY,1
1976,M,FROSTBITE,1
1976,M,GIGI,1
1976,M,GINO,1
1976,M,GORKI,1
1976,M,GULLIVER,1
1976,M,GYPSIE,1
1976,M,GYPSY,1
1976,M,HAPPY,1
1976,M,HARRY,1
1976,M,HOBO,1
1976,M,ILILLES,1
1976,M,INKEY,1
1976,M,J,1
1976,M,JACK,1
1976,M,JACKIE,2
1976,M,JASPER,1
1976,M,JONTUE,1
1976,M,JOSHUA,1
1976,M,JULIE,1
1976,M,JUMBO,2
1976,M,KAISER,1
1976,M,KAITEK,1
1976,M,KILLER,1
1976,M,KING,4
1976,M,KISKA,1
1976,M,KUNTAKINUT,1
1976,M,LAEXANDER,1
1976,M,LE,1
1976,M,LEO,3
1976,M,LEVI,1
1976,M,LIBRA,1
1976,M,LITTLE,1
1976,M,LOCKY,1
1976,M,LUCAN,1
1976,M,LUCKY,7
1976,M,LUDWIG,1
1976,M,MAC,2
1976,M,MACHO,1
1976,M,MACKEDZIE,1
1976,M,MAJOR,1
1976,M,MAX,5
1976,M,MIDNITE,1
1976,M,MIKE,1
1976,M,MIKEY,1
1976,M,MO,1
1976,M,MOCHA,1
1976,M,MONTE,1
1976,M,MOURGO,1
1976,M,MUFFIN,5
1976,M,MULLIGAN,1
1976,M,MURPHY,1
1976,M,MUTTONS,1
1976,M,NAPOLEON,1
1976,M,NAZARETH,1
1976,M,NELSON,1
1976,M,NICKI,1
1976,M,ORPHAN,1
1976,M,OSIRIS,1
1976,M,PACO,1
1976,M,PATCHES,1
1976,M,PATRICK,2
1976,M,PAW,1
1976,M,PEPE,1
1976,M,PEPPER,2
1976,M,PEPPIE,1
1976,M,PEPPY,3
1976,M,PETCH,1
1976,M,PHANTOM,1
1976,M,PHILLY,1
1976,M,PIERRE,3
1976,M,PJ,1
1976,M,POPPER,1
1976,M,POPPIE,1
1976,M,POPPY,1
1976,M,PORKCHOP,1
1976,M,POURRI,1
1976,M,PRINCE,2
1976,M,PRINCESE,1
1976,M,PUFF,1
1976,M,PUGGIE,1
1976,M,PUPPY,1
1976,M,RAGS,1
1976,M,RANDY,1
1976,M,REX,1
1976,M,RICHARD,1
1976,M,RICKY,1
1976,M,RINGO,1
1976,M,RIP,1
1976,M,ROBBIE,1
1976,M,ROCKY,9
1976,M,RUE,1
1976,M,RUFFY,1
1976,M,RUMMY,1
1976,M,RUSTY,5
1976,M,SABU,1
1976,M,SADAM,1
1976,M,SAGEBRUSH,1
1976,M,SAM,5
1976,M,SAMMY,2
1976,M,SAMPSON,1
1976,M,SAMSON,1
1976,M,SAMY,1
1976,M,SANDY,1
1976,M,SARGE,1
1976,M,SATAEN,1
1976,M,SCHATZEE,1
1976,M,SCHWARTZ,1
1976,M,SCRUFFY,3
1976,M,SHAGGY,1
1976,M,SHANNON,1
1976,M,SHANON,1
1976,M,SHELLY,1
1976,M,SHORTCAKE,1
1976,M,SINBAD,1
1976,M,SIR,1
1976,M,SKIPPER,1
1976,M,SKIPPY,5
1976,M,SMOKEY,3
1976,M,SNOOPY,4
1976,M,SNOW,2
1976,M,SNUFFY,1
1976,M,SPANKY,3
1976,M,SPARCUS,1
1976,M,SPARKY,1
1976,M,SPOT,1
1976,M,SPUNKY,1
1976,M,STARY,1
1976,M,STEELER,1
1976,M,TANGO,1
1976,M,TEDDY,3
1976,M,TIBO,1
1976,M,TIGER,2
